,country,gdp_per_capita,water_stress,total_population_with_access_to_safe_drinking_water
56,Afghanistan,508.453722,54.7570194384,55.3
113,Albania,5180.914198,4.7235576923,95.1
170,Algeria,3367.963003,137.9203602082,83.6
227,Angola,1895.770703,1.8718832891,49.0
284,Argentina,8475.729582,10.4566640772,99.1
313,Armenia,4266.005479,57.0909824491,100.0
370,Australia,55822.712845,3.4740651387,100.0
427,Austria,48105.631983,9.6435479414,100.0
456,Azerbaijan,4202.232239,55.5972620888,87.0
513,Bahrain,19925.001599,133.7068965517,100.0
570,Bangladesh,2000.640157,5.7233394816,86.9
627,Barbados,15449.237002,87.5,99.7
656,Belarus,6377.055432,4.3770599868,99.7
713,Belgium,45028.323405,51.5847665848,100.0
770,Belize,3987.726394,1.2602944847,99.5
827,Benin,1254.212589,0.975243811,77.9
884,Bhutan,3217.962935,1.4138075314,100.0
941,Bolivia (Plurinational State of),3133.10195,1.1770011274,90.0
998,Botswana,6710.960147,2.3050047056,96.2
1055,Brazil,6796.844058,1.4793042712,98.1
1112,Bulgaria,10058.077407,37.5194027644,99.4
1169,Burkina Faso,830.925337,7.8202676864,82.3
1226,Burundi,285.875782,10.19286754,75.9
1283,Cabo Verde,3064.276546,8.4333333333,91.7
1340,Cambodia,1512.728288,1.0365448505,75.5
1397,Cameroon,1502.328062,1.5604301075,75.6
1454,Canada,43559.710092,3.7335736354,99.8
1511,Central African Republic,481.016462,0.3356481481,68.5
1568,Chad,679.067284,4.294921875,50.8
1625,Chile,13231.709642,8.982121089,99.0
1682,China,10429.630529,41.5185287974,95.5
1739,Colombia,5332.77279,4.3586331976,91.4
1796,Comoros,1420.651905,0.8333333333,90.1
1853,Congo,1830.382491,0.0274463007,76.5
1910,Costa Rica,12076.805961,5.3516723549,97.8
1939,Croatia,13934.241955,1.4784348599,99.6
1996,Cuba,9477.852873,23.9394460692,94.9
2053,Cyprus,28133.071159,37.5888463641,100.0
2081,Czechia,22910.628937,20.7725060827,100.0
2138,Côte d'Ivoire,2317.925719,5.0875656743,81.9
2195,Democratic People's Republic of Korea,617.887235,27.7404677988,99.7
2252,Democratic Republic of the Congo,505.883924,0.2268835048,52.4
2309,Denmark,61476.596929,26.4042725798,100.0
2366,Dominican Republic,7268.188603,39.553314121,84.7
2423,Ecuador,5600.39152,6.7823529412,86.9
2480,Egypt,3608.842256,141.1657559199,99.4
2537,El Salvador,3798.634701,2.4273237679,93.8
2565,Eritrea,587.614196,11.1751152074,57.8
2594,Estonia,23105.523391,9.2310854978,99.6
2651,Eswatini,3305.774271,77.559912854,74.1
2679,Ethiopia,840.36193,32.2571865443,57.3
2736,Fiji,5013.230983,0.2973730298,95.7
2793,Finland,48685.245393,7.1140621295,100.0
2850,France,38958.603419,22.9992818436,100.0
2907,Gabon,6789.392632,0.502166065,93.2
2964,Gambia,757.412441,2.2096563723,90.2
2993,Georgia,3983.689756,5.3867100977,100.0
3050,Germany,45908.724713,33.5019188596,100.0
3107,Ghana,2205.526086,6.3147340889,88.7
3164,Greece,18117.070258,20.4774428485,100.0
3221,Guatemala,4331.686958,5.7420970807,92.8
3278,Guinea,1179.48889,1.3692307692,76.8
3335,Guinea-Bissau,668.190171,1.4957264957,79.3
3392,Guyana,6956.019415,3.2984018265,98.3
3449,Haiti,1359.802536,13.3837917667,57.7
3506,Honduras,2405.734997,4.621268764,91.2
3563,Hungary,16128.651665,8.0701208981,100.0
3620,Iceland,63644.018266,0.394075282,100.0
3677,India,1930.971218,66.4920928322,94.1
3734,Indonesia,3869.58852,29.6965452848,87.4
3791,Iran (Islamic Republic of),11183.274877,81.2890812891,96.2
3848,Iraq,4145.863967,79.5140449438,86.6
3905,Ireland,86250.994153,21.6404494382,97.9
3962,Israel,47033.586547,110.0854110948,100.0
4019,Italy,31238.048346,29.6457837695,100.0
4076,Jamaica,4664.519718,12.4734362007,93.8
4133,Japan,39989.725509,36.0459770115,100.0
4190,Jordan,4282.721671,104.3127699635,96.9
4219,Kazakhstan,9111.410501,34.0984743412,92.9
4276,Kenya,1878.581192,33.2399010717,63.2
4333,Kuwait,24809.039629,3850.5,99.0
4362,Kyrgyzstan,1185.730193,50.0389559797,90.0
4419,Lao People's Democratic Republic,2622.75764,4.7913950456,75.7
4448,Latvia,17870.510316,1.0678314673,99.3
4505,Lebanon,9310.161925,58.7929915639,99.0
4562,Lesotho,1061.265715,2.5659050967,81.8
4619,Liberia,490.519124,0.2643115942,75.6
4676,Libya,4242.767174,817.1428571429,71.2
4705,Lithuania,20771.84218,1.8341023792,96.6
4762,Luxembourg,117181.646629,3.9635157546,100.0
4819,Madagascar,469.766309,11.2615062762,51.5
4876,Malawi,614.867605,17.5048380854,90.2
4933,Malaysia,10401.793199,3.4394871795,98.2
4990,Mali,855.863188,8.0030864198,77.0
5047,Malta,33770.790122,81.859939604,100.0
5104,Mauritania,1702.487691,13.2462173315,57.9
5161,Mauritius,8586.942672,22.0647037441,99.9
5218,Mexico,8325.571218,44.8170243434,96.1
5275,Mongolia,4007.31128,3.3950073421,64.4
5332,Morocco,3108.175374,50.7512120194,85.4
5389,Mozambique,448.843891,1.7514863258,51.1
5446,Myanmar,1291.748968,5.8015013966,80.6
5503,Namibia,4215.170141,0.8615525672,91.0
5560,Nepal,1135.287957,8.3118326623,91.6
5617,Netherlands (Kingdom of the),53333.657572,16.8035605907,100.0
5674,New Zealand,43972.130573,8.0480847596,100.0
5731,Nicaragua,1905.255197,2.2209002094,87.0
5788,Niger,567.669697,11.0209377133,58.2
5845,Nigeria,2085.474061,9.6682170543,68.5
5874,North Macedonia,5886.461037,38.7023233301,99.4
5931,Norway,66870.730726,2.0464638783,100.0
5988,Oman,12408.89814,116.7142857143,93.4
6045,Pakistan,1167.216496,116.3057481136,91.4
6102,Palestine,3050.389559,50.2638710598,58.4
6159,Panama,12269.045876,0.9010711098,94.7
6216,Paraguay,4949.74413,1.835399711,98.0
6273,Peru,6162.698252,7.1814456036,86.7
6330,Philippines,3298.830062,26.2510385326,91.8
6387,Poland,15764.10583,30.0,98.3
6444,Portugal,22413.039839,12.3157122765,100.0
6501,Puerto Rico,36051.590208,19.5356106274,93.6
6558,Qatar,50814.93445,431.0344827586,100.0
6615,Republic of Korea,31946.982511,85.2218330414,97.6
6644,Republic of Moldova,2953.510884,12.5631125631,88.4
6701,Romania,12928.580656,6.0069281902,100.0
6730,Russian Federation,10165.505967,4.1222427493,96.9
6787,Rwanda,797.705403,20.1986754967,76.1
6844,Saudi Arabia,20110.315319,974.1666666667,97.0
6901,Senegal,1457.990727,16.2764486975,78.5
6958,Sierra Leone,474.692062,0.4957943925,62.6
6986,Slovakia,19263.637523,2.3881239243,100.0
7015,Slovenia,25777.396719,6.7816091954,99.5
7072,Somalia,117.858871,24.527740592,31.7
7129,South Africa,5094.384038,65.0336215178,93.2
7138,South Sudan,1420.710434,4.2260757868,58.7
7195,Spain,27408.6349,43.2540392297,100.0
7252,Sri Lanka,3767.606655,90.7854137447,95.6
7261,Sudan,1415.243448,118.6563876652,55.5
7318,Suriname,7022.767223,3.950609365,94.8
7375,Sweden,53574.552637,3.582972583,100.0
7432,Switzerland,86918.648293,6.4988558352,100.0
7489,Syrian Arab Republic,889.815247,124.360138926,90.1
7518,Tajikistan,838.451016,69.9432642829,73.8
7575,Thailand,7189.047989,23.0139351833,97.8
7632,Timor-Leste,1442.727467,28.2682103232,71.9
7689,Togo,863.14473,3.391634981,63.1
7746,Trinidad and Tobago,15285.973254,20.3264812576,95.1
7803,Tunisia,3318.333356,98.1133991824,97.7
7832,Turkmenistan,7103.921926,135.2138073158,60.4
7889,Türkiye,8538.131926,45.7056970957,100.0
7946,Uganda,846.116481,5.8279963403,79.0
7975,Ukraine,3557.477356,12.2557657424,96.2
8032,United Arab Emirates,36284.547906,1587.3333333333,99.6
8089,United Kingdom of Great Britain and Northern Ireland,40718.221814,14.3546462063,100.0
8146,United Republic of Tanzania,1112.647575,12.9632408102,55.6
8203,United States of America,63122.594145,28.1619842696,99.2
8260,Uruguay,15438.401395,9.7860962567,99.7
8289,Uzbekistan,1724.187748,168.9245770003,87.3
8346,Venezuela (Bolivarian Republic of),3740.287361,7.5403666667,93.1
8403,Viet Nam,2785.724225,18.1303153792,97.6
8460,Yemen,937.382745,169.7619047619,54.9
8517,Zambia,985.132788,2.8354978355,65.4
8574,Zimbabwe,1465.845054,35.405385383,76.9
